Name,ICAO,IATA,Latitude,Longitude,Type
SRI SATHYA SAI,VOPN,PUT,77.791(E),7315 ft,Medium
PUNE,VAPO,PNQ,73.920(E),8329 ft,Medium
Baramati Airport,,,74.591(E),,Small
Charra Airfield,,,86.437(E),,Closed
RAIPUR,VARP,RPR,81.739(E),6414 ft,Small
RAJAHMUNDRY,VORY,RJA,81.818(E),5710 ft,Medium
RAJKOT,VARK,RAJ,70.780(E),5740 ft,Medium
RAJAORI,,,74.315(E),3300 ft,Small
Basanth Nagar Airport,VORG,RMD,79.392(E),,Small
Ramnad Naval Air Station,VORM,,78.971(E),,Small
Surichua Air Base,,,87.702(E),,Small
BIRSA MUNDA,VERC,IXR,85.322(E),8855 ft,Medium
Rasgovindpur Airstrip,,,87.047(E),,Closed
CHORHATA,,,81.220(E),3940 ft,Small
Korba Airport,,,82.719(E),,Small
SALEM,VOSM,SXV,78.066(E),5925 ft,Medium
HIRAKUD,VEHK,,84.006(E),4185 ft,Small
BARAPANI,VEBI,SHL,91.979(E),6000 ft,Medium
Shirpur Airport,,,74.957(E),,Small
BAGDOGRA,VEBD,IXB,88.329(E),9035 ft,Medium
SHOLAPUR,VASL,SSE,75.935(E),4472 ft,Medium
SRINAGAR,VISR,SXR,74.774(E),12090 ft,Medium
SULUR,VOSX,,77.160(E),8255 ft,Small
TEJU NEW,,TEI,96.134(E),4505 ft,Small
TANJORE,VOTJ,TJV,79.102(E),5680 ft,Small
TIRUCHIRAPPALLI,VOTR,TRZ,78.710(E),6115 ft,Medium
TIRUPATI,VOTP,TIR,79.543(E),7500 ft,Small
THIRUVANANTHAPURAM INTL,VOTV,TRV,76.920(E),10626 ft,Large
UDAIPUR,VAUD,UDR,73.896(E),7484 ft,Medium
BENTAYAN,,,75.885(E),3491 ft,Small
Umaria Air Field,,,80.808(E),,Small
VADODARA,VABO,BDQ,73.226(E),8100 ft,Medium
Vanasthali Airport,,,75.870(E),,Small
VARANASI,VIBN,VNS,82.859(E),7238 ft,Medium
Vellore Airport,VOVR,,79.067(E),,Small
Vijay Nagar Airport,,,73.841(E),,Small
VISHAKHAPATNAM,VEVZ,VTZ,83.224(E),6000 ft,Small
Warangal Airport,VOWA,WGC,79.602(E),,Small
YELAHANKA,VOYK,,77.606(E),6690 ft,Small
