Name,ICAO,IATA,Latitude,Longitude,Type
Ludhiana Airport,VILD,LUH,30.854700088500977,75.95259857177734,medium_airport
Leh Kushok Bakula Rimpochee Airport,VILH,IXL,34.135899,77.546501,medium_airport
Chaudhary Charan Singh International Airport,VILK,LKO,26.760599,80.889297,large_airport
Lalitpur Airport,VILP,,24.71699905395508,78.41699981689453,small_airport
Moradabad Airport,VIMB,MZS,28.81746,78.92187,medium_airport
Pathankot Airport,VIPK,IXP,32.233611,75.634444,medium_airport
Patiala Airport,VIPL,,30.3148,76.364502,small_airport
Pantnagar Airport,VIPT,PGH,29.0334,79.473701,medium_airport
Phalodi Air Force Station,VIPX,,27.104866,72.212894,small_airport
Fursatganj Airport,VIRB,,26.248501,81.380501,small_airport
Sirsa Air Force Station,VISA,,29.5606,75.006104,medium_airport
Shimla Airport,VISM,SLV,31.0818,77.068001,small_airport
Sarsawa Air Force Station,VISP,SWN,29.994303,77.42456,small_airport
Sheikh ul Alam International Airport,VISR,SXR,33.987099,74.7742,large_airport
Satna Airport,VIST,TNI,24.56262,80.852927,small_airport
Shravasti Airport,VISV,VSV,27.499732,82.032927,small_airport
Uttarlai Airport,VIUT,,25.813,71.4823,small_airport
Udhampur Air Force Station,VIUX,,32.902152,75.155709,medium_airport
Kovilpatti Airport,VO26,,9.15389,77.821198,small_airport
Harihar Airport,VO52,,14.534533,75.786879,small_airport
Campbell Bay Airport / INS Baaz,VO94,,7.01304,93.922798,medium_airport
Hosur Airport,VO95,,12.661299705505373,77.76719665527344,small_airport
INS Rajali / Arakkonam Naval Air Station,VOAR,,13.0712,79.6912,small_airport
Agatti Airport,VOAT,AGX,10.8237,72.176003,medium_airport
HAL Airport,VOBG,,12.95,77.668198,medium_airport
Bellary Airport,VOBI,BEP,15.162799835205078,76.88279724121094,medium_airport
Kempegowda International Airport Bengaluru,VOBL,BLR,13.1979,77.706299,large_airport
Bidar Airport / Bidar Air Force Station,VOBR,IXX,17.9081,77.487099,medium_airport
Vijayawada International Airport,VOBZ,VGA,16.530011,80.804888,large_airport
Coimbatore International Airport,VOCB,CJB,11.03,77.043404,large_airport
INS Garuda / Willingdon Island Naval Air Station,VOCC,,9.946064,76.271947,small_airport
Cochin International Airport,VOCI,COK,10.151047,76.400838,large_airport
Calicut International Airport,VOCL,CCJ,11.135996,75.955152,large_airport
Kadapa Airport,VOCP,CDP,14.513154,78.769183,medium_airport
Car Nicobar Air Force Base,VOCX,CBD,9.153056,92.819273,medium_airport
Dundigul Air Force Academy,VODG,,17.627199173,78.4033966064,medium_airport
Manohar International Airport,VOGA,GOX,15.744257,73.860625,large_airport
Kalaburagi Airport,VOGB,GBI,17.308154,76.965246,small_airport
Goa Dabolim International Airport,VOGO,GOI,15.380062,73.833328,large_airport
Hakimpet Airport,VOHK,,17.553499,78.524902,small_airport
Rajiv Gandhi International Airport,VOHS,HYD,17.231318,78.429855,large_airport
Begumpet Airport,VOHY,BPM,17.4531,78.467598,medium_airport
Jindal Vijaynagar Airport,VOJV,VDY,15.175921,76.63303,small_airport
Kannur International Airport,VOKN,CNN,11.916343,75.544979,large_airport
Baldota Koppal Aerodrome,VOKP,,15.359481,76.219411,small_airport
Kurnool Airport,VOKU,KJB,15.716288,78.16923,medium_airport
Madurai Airport,VOMD,IXM,9.83450984955,78.09339904790001,medium_airport
Mangaluru International Airport,VOML,IXE,12.95471,74.886812,large_airport
Chennai International Airport,VOMM,MAA,12.990005,80.169296,large_airport
Mysore Airport,VOMY,MYQ,12.229751,76.653683,medium_airport
Nagarjuna Sagar Airport,VONS,,16.541574,79.316504,small_airport
Neyveli Airport,VONV,NVY,11.612956,79.527382,small_airport
Veer Savarkar International Airport / INS Utkrosh,VOPB,IXZ,11.640194,92.72902,large_airport
Pondicherry Airport,VOPC,PNY,11.968,79.812,medium_airport
Sri Sathya Sai Airport,VOPN,PUT,14.1492996216,77.7910995483,medium_airport
